NumberOfTubes,TubeHeight,RadiatorLength,TubeWidth,FinDistance,FinHeight,FinWidth,RadiatorHeight,QValue
60,0.00156,0,0.0246,0.00158,0.1188,0.0246,61.2124,0
60,0.00156,0.01,0.0246,0.00158,0.1188,0.0246,61.2124,8209.75
60,0.00156,0.02,0.0246,0.00158,0.1188,0.0246,61.2124,15571.4
60,0.00156,0.03,0.0246,0.00158,0.1188,0.0246,61.2124,22187.8
60,0.00156,0.04,0.0246,0.00158,0.1188,0.0246,61.2124,28147.9
60,0.00156,0.05,0.0246,0.00158,0.1188,0.0246,61.2124,33528.5
60,0.00156,0.06,0.0246,0.00158,0.1188,0.0246,61.2124,38396.2
60,0.00156,0.07,0.0246,0.00158,0.1188,0.0246,61.2124,42809.1
60,0.00156,0.08,0.0246,0.00158,0.1188,0.0246,61.2124,46817.7
60,0.00156,0.09,0.0246,0.00158,0.1188,0.0246,61.2124,50466
60,0.00156,0.1,0.0246,0.00158,0.1188,0.0246,61.2124,53792.7
60,0.00156,0.11,0.0246,0.00158,0.1188,0.0246,61.2124,56831.7
60,0.00156,0.12,0.0246,0.00158,0.1188,0.0246,61.2124,59612.9
60,0.00156,0.13,0.0246,0.00158,0.1188,0.0246,61.2124,62162.4
60,0.00156,0.14,0.0246,0.00158,0.1188,0.0246,61.2124,64503.6
60,0.00156,0.15,0.0246,0.00158,0.1188,0.0246,61.2124,66656.8
60,0.00156,0.16,0.0246,0.00158,0.1188,0.0246,61.2124,68640.5
60,0.00156,0.17,0.0246,0.00158,0.1188,0.0246,61.2124,70470.6
60,0.00156,0.18,0.0246,0.00158,0.1188,0.0246,61.2124,72161.6
60,0.00156,0.19,0.0246,0.00158,0.1188,0.0246,61.2124,73726.3
60,0.00156,0.2,0.0246,0.00158,0.1188,0.0246,61.2124,75176.3
60,0.00156,0.21,0.0246,0.00158,0.1188,0.0246,61.2124,76521.6
60,0.00156,0.22,0.0246,0.00158,0.1188,0.0246,61.2124,77771.6
60,0.00156,0.23,0.0246,0.00158,0.1188,0.0246,61.2124,78934.5
60,0.00156,0.24,0.0246,0.00158,0.1188,0.0246,61.2124,80017.6
60,0.00156,0.25,0.0246,0.00158,0.1188,0.0246,61.2124,81027.8
60,0.00156,0.26,0.0246,0.00158,0.1188,0.0246,61.2124,81970.9
60,0.00156,0.27,0.0246,0.00158,0.1188,0.0246,61.2124,82852.6
60,0.00156,0.28,0.0246,0.00158,0.1188,0.0246,61.2124,83677.5
60,0.00156,0.29,0.0246,0.00158,0.1188,0.0246,61.2124,84450.4
60,0.00156,0.3,0.0246,0.00158,0.1188,0.0246,61.2124,85175.1
60,0.00156,0.31,0.0246,0.00158,0.1188,0.0246,61.2124,85855.4
60,0.00156,0.32,0.0246,0.00158,0.1188,0.0246,61.2124,86494.7
60,0.00156,0.33,0.0246,0.00158,0.1188,0.0246,61.2124,87095.9
60,0.00156,0.34,0.0246,0.00158,0.1188,0.0246,61.2124,87661.9
60,0.00156,0.35,0.0246,0.00158,0.1188,0.0246,61.2124,88195.2
60,0.00156,0.36,0.0246,0.00158,0.1188,0.0246,61.2124,88698.1
60,0.00156,0.37,0.0246,0.00158,0.1188,0.0246,61.2124,89172.8
60,0.00156,0.38,0.0246,0.00158,0.1188,0.0246,61.2124,89621.2
60,0.00156,0.39,0.0246,0.00158,0.1188,0.0246,61.2124,90045.2
60,0.00156,0.4,0.0246,0.00158,0.1188,0.0246,61.2124,90446.3
60,0.00156,0.41,0.0246,0.00158,0.1188,0.0246,61.2124,90826
60,0.00156,0.42,0.0246,0.00158,0.1188,0.0246,61.2124,91185.9
60,0.00156,0.43,0.0246,0.00158,0.1188,0.0246,61.2124,91527.1
60,0.00156,0.44,0.0246,0.00158,0.1188,0.0246,61.2124,91850.8
60,0.00156,0.45,0.0246,0.00158,0.1188,0.0246,61.2124,92158.2
60,0.00156,0.46,0.0246,0.00158,0.1188,0.0246,61.2124,92450.3
60,0.00156,0.47,0.0246,0.00158,0.1188,0.0246,61.2124,92727.9
60,0.00156,0.48,0.0246,0.00158,0.1188,0.0246,61.2124,92992.1
60,0.00156,0.49,0.0246,0.00158,0.1188,0.0246,61.2124,93243.5
60,0.00156,0.5,0.0246,0.00158,0.1188,0.0246,61.2124,93482.9
60,0.00156,0.51,0.0246,0.00158,0.1188,0.0246,61.2124,93711.1
60,0.00156,0.52,0.0246,0.00158,0.1188,0.0246,61.2124,93928.7
60,0.00156,0.53,0.0246,0.00158,0.1188,0.0246,61.2124,94136.2
60,0.00156,0.54,0.0246,0.00158,0.1188,0.0246,61.2124,94334.3
60,0.00156,0.55,0.0246,0.00158,0.1188,0.0246,61.2124,94523.4
60,0.00156,0.56,0.0246,0.00158,0.1188,0.0246,61.2124,94704.1
60,0.00156,0.57,0.0246,0.00158,0.1188,0.0246,61.2124,94876.8
60,0.00156,0.58,0.0246,0.00158,0.1188,0.0246,61.2124,95042
60,0.00156,0.59,0.0246,0.00158,0.1188,0.0246,61.2124,95200
60,0.00156,0.6,0.0246,0.00158,0.1188,0.0246,61.2124,95351.2
60,0.00156,0.61,0.0246,0.00158,0.1188,0.0246,61.2124,95496
60,0.00156,0.62,0.0246,0.00158,0.1188,0.0246,61.2124,95634.7
60,0.00156,0.63,0.0246,0.00158,0.1188,0.0246,61.2124,95767.6
60,0.00156,0.64,0.0246,0.00158,0.1188,0.0246,61.2124,95895
60,0.00156,0.65,0.0246,0.00158,0.1188,0.0246,61.2124,96017.1
60,0.00156,0.66,0.0246,0.00158,0.1188,0.0246,61.2124,96134.3
60,0.00156,0.67,0.0246,0.00158,0.1188,0.0246,61.2124,96246.8
60,0.00156,0.68,0.0246,0.00158,0.1188,0.0246,61.2124,96354.8
60,0.00156,0.69,0.0246,0.00158,0.1188,0.0246,61.2124,96458.4
60,0.00156,0.7,0.0246,0.00158,0.1188,0.0246,61.2124,96558
60,0.00156,0.71,0.0246,0.00158,0.1188,0.0246,61.2124,96653.7
60,0.00156,0.72,0.0246,0.00158,0.1188,0.0246,61.2124,96745.7
60,0.00156,0.73,0.0246,0.00158,0.1188,0.0246,61.2124,96834.1
60,0.00156,0.74,0.0246,0.00158,0.1188,0.0246,61.2124,96919.2
60,0.00156,0.75,0.0246,0.00158,0.1188,0.0246,61.2124,97001
60,0.00156,0.76,0.0246,0.00158,0.1188,0.0246,61.2124,97079.7
60,0.00156,0.77,0.0246,0.00158,0.1188,0.0246,61.2124,97155.5
60,0.00156,0.78,0.0246,0.00158,0.1188,0.0246,61.2124,97228.4
60,0.00156,0.79,0.0246,0.00158,0.1188,0.0246,61.2124,97298.6
60,0.00156,0.8,0.0246,0.00158,0.1188,0.0246,61.2124,97366.3
60,0.00156,0.81,0.0246,0.00158,0.1188,0.0246,61.2124,97431.5
60,0.00156,0.82,0.0246,0.00158,0.1188,0.0246,61.2124,97494.3
60,0.00156,0.83,0.0246,0.00158,0.1188,0.0246,61.2124,97554.8
60,0.00156,0.84,0.0246,0.00158,0.1188,0.0246,61.2124,97613.2
60,0.00156,0.85,0.0246,0.00158,0.1188,0.0246,61.2124,97669.4
60,0.00156,0.86,0.0246,0.00158,0.1188,0.0246,61.2124,97723.7
60,0.00156,0.87,0.0246,0.00158,0.1188,0.0246,61.2124,97776.1
60,0.00156,0.88,0.0246,0.00158,0.1188,0.0246,61.2124,97826.6
60,0.00156,0.89,0.0246,0.00158,0.1188,0.0246,61.2124,97875.3
60,0.00156,0.9,0.0246,0.00158,0.1188,0.0246,61.2124,97922.3
60,0.00156,0.91,0.0246,0.00158,0.1188,0.0246,61.2124,97967.8
60,0.00156,0.92,0.0246,0.00158,0.1188,0.0246,61.2124,98011.6
60,0.00156,0.93,0.0246,0.00158,0.1188,0.0246,61.2124,98053.9
60,0.00156,0.94,0.0246,0.00158,0.1188,0.0246,61.2124,98094.8
60,0.00156,0.95,0.0246,0.00158,0.1188,0.0246,61.2124,98134.3
60,0.00156,0.96,0.0246,0.00158,0.1188,0.0246,61.2124,98172.4
60,0.00156,0.97,0.0246,0.00158,0.1188,0.0246,61.2124,98209.3
60,0.00156,0.98,0.0246,0.00158,0.1188,0.0246,61.2124,98244.9
60,0.00156,0.99,0.0246,0.00158,0.1188,0.0246,61.2124,98279.3
60,0.00156,1,0.0246,0.00158,0.1188,0.0246,61.2124,98312.6
